"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.71722090446984e-26,0.630733591823351,0.264,0.147,2.56741697427285e-22,"0","GYS1"
1.72886499468392e-26,0.550396827527961,0.326,0.197,2.58482605355192e-22,"0","CABYR"
3.09155875431411e-26,0.56014145420984,0.315,0.188,4.62218949357503e-22,"0","TRIM45"
3.52507835680382e-26,0.527282627835672,0.341,0.208,5.27034465125739e-22,"0","INKA2"
1.35320639874064e-25,0.613522487648106,0.295,0.174,2.02317888675714e-21,"0","FOXM1"
2.88014671959298e-25,0.555244352468449,0.313,0.187,4.30610736046347e-21,"0","MASTL"
3.4369046584841e-25,0.592540967808843,0.29,0.17,5.13851615489957e-21,"0","PIK3C2G"
3.47736326560383e-25,0.545780219780947,0.335,0.206,5.19900581840428e-21,"0","THSD7A"
3.56951791371987e-25,0.536674165575733,0.35,0.217,5.33678623280258e-21,"0","CCDC196"
4.44905940465385e-25,0.620922417506234,0.279,0.162,6.65178871589797e-21,"0","TGFB1"
4.88971219746016e-25,0.525612092515832,0.323,0.195,7.31060870642268e-21,"0","KIF26B-AS1"
1.28098773731788e-24,0.642146689483079,0.258,0.146,1.91520476606396e-20,"0","INSR"
2.1140284219365e-24,0.609308305321457,0.252,0.142,3.16068389363726e-20,"0","SYT8"
2.30034590648494e-24,0.509468199698815,0.342,0.211,3.43924716478564e-20,"0","LOC124902229"
